ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	1	“We do need to get tough with China,” Biden said in a July speech, after blasting the president’s tariffs as causing severe pain and “pointless.”	https://www.washingtonpost.com/business/2019/08/07/democrats-struggle-present-united-front-trumps-trade-war/
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	4	Biden is proposing to raise the top individual income tax rate to 39.6 percent. He is proposing to increase taxes on wealthy people's capital gains. Biden's campaign also said that his capital gains reform will close the loopholes that allow the super wealthy to avoid taxes on capital gains altogether.	https://thehill.com/policy/finance/453110-biden-proposes-tax-increases-for-wealthy-as-part-of-health-care-plan
Econ_3	Fiscal	We should reduce taxes on the middle class	3	We should be raising the capital gains tax and cutting taxes for middle class people. Biden did express support for another policy change the White House is considering -- lowering payroll taxes, which he said worked during the Obama administration. However, he supports repealing entirety of the Tax cuts and Jobs act of 2017 which increase middle class tax brackets.	https://www.bloomberg.com/news/articles/2019-08-20/biden-dismisses-trump-s-idea-of-cutting-capital-gains-taxes
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	No info	
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Biden foresees $1.7 trillion in spending over the next 10 years, and $3.3 trillion in investments by the private sector and state and local governments. The proposal aims to achieve 100% clean energy and net-zero emission by 2050	https://joebiden.com/climate/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	4	"I don't think we spend nearly enough time focusing on antitrust measures," Biden told the AP. "And the truth of the matter is, I think it's something we should take a really hard look at."	https://www.newsweek.com/joe-biden-open-breaking-facebook-other-tech-giants-1424573
Econ_7	Industry	I support a public single-payer healthcare system	2	“I understand the appeal of Medicare for All. But folks supporting it should be clear that it means getting rid of Obamacare, and I’m not for that,”	https://www.cnbc.com/2019/07/15/biden-unveils-health-care-plan-to-expand-obamacare-hits-medicare-for-all.html
Econ_8	Industry	Private health insurance should be abolished in favor of a government-run plan	2	As president, Biden will protect the Affordable Care Act from these continued attacks. He opposes every effort to get rid of this historic law – including efforts by Republicans, and efforts by Democrats. Instead of starting from scratch and getting rid of private insurance, he has a plan to build on the Affordable Care Act by giving Americans more choice, reducing health care costs, and making our health care system less complex to navigate.	https://joebiden.com/healthcare/
Econ_9	Labor	The government should introduce $15/hr federally mandate minimum wage	5	Since 1978, CEO compensation has risen 940%, while the average American has seen a raise of just 12%. It’s wrong. We need a $15 minimum wage, stronger labor laws, and a tax code that works for the middle class. It’s time we reward work, not just wealth.	https://twitter.com/JoeBiden?lang=en - August 15, 2019
Econ_10	Labor	The government should require employers to pay men and women the same salary for the same job	5	As we cheer them on in the World Cup, we must support their fight off the field for equal pay. In 2019, it’s past time we close the pay gap and ensure women get paid as much as men	https://twitter.com/JoeBiden?lang=en - June 16, 2019
Econ_11	Labor	The government should institute policies that sreangthen and encourage labor unions	4	We have to stop Republican attempts to strip away workers’ rights to form unions and collectively bargain.	https://joebiden.com/joes-vision/
Social_1	Education	Higher education should be tuition free (publically funded)	4	Joseph Biden, in his first campaign appearance in New Hampshire as a declared 2020 Democratic presidential candidate, says he would make two years of community college free to students.	https://www.educationnext.org/biden-backs-two-years-free-community-college/
Social_2	Education	The government should forgive outstanding student debt	3	Biden released a proposal to simplify and streamline the Public Service Loan Forgiveness program, with a focus on teachers	https://www.cnbc.com/2019/07/30/democratic-presidential-candidates-plans-for-addressing-student-debt.html
Social_3	Gun Control	The government should ban all assault style weapons and high capacity magazines from public purchase	5	Biden will also detail his plan to tackle the public health epidemic of gun violence in America, starting with universal background checks and bans on assault weapons and high-capacity magazines.	https://joebiden.com/justice/
Social_4	Gun Control	The government should introduce a gun buy-back program	4	I would insititute a (voluntary) national buyback program	https://www.cnn.com/videos/politics/2019/08/06/biden-assault-weapons-national-buyback-program-sot-ac360-vpx.cnn/video/playlists/this-week-in-politics/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	5	Biden will work to pass legislation to eliminate the death penalty at the federal level, and incentivize states to follow the federal government’s example. These individuals should instead serve life sentences without probation or parole.	https://joebiden.com/justice/
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	4	Biden believes that no one should be imprisoned for the use of illegal drugs alone. He also proposes to use the president’s clemency power to secure the release of individuals facing unduly long sentences for certain non-violent and drug crimes	https://joebiden.com/justice/
Social_7	Criminal Justice	The government should take an active role to reduce police brutality, especially those driven by racial biases	4	Expand and use the power of the U.S. Justice Department to address systemic misconduct in police departments and prosecutors’ offices.	https://joebiden.com/justice/
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	3	As president, he will decriminalize cannabis use and automatically expunge prior convictions. And, he will support the legalization of cannabis for medical purposes, leave decisions regarding legalization for recreational use up to the states, and reschedule cannabis as a schedule II drug so researchers can study its positive and negative impacts.	https://joebiden.com/justice/
Social_9	Church-State	I support the Equality Act (amending the Civil Rights Act to prohibit discrimination on the basis of sexual orientation and gender identity in employment, housing, public accommodations, public education, federal funding, credit, and the jury system)	5	Democratic presidential candidate Joe Biden says the Equality Act will be his top legislative priority.	https://www.apnews.com/0d8fdc6cb4e9422a83548e10f3f3dc78
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	4	After years of supporting the Hyde amendment, in June 2019, Biden announced support for the repeal of the Hyde Amendment, which bars federal funding for most abortions. The announcement marks the second time in about a month that Biden has appeared to reverse his position on the Hyde Amendment.	https://www.cnbc.com/2019/06/07/joe-biden-says-he-now-supports-federal-funding-of-abortion.html
Social_11	Democracy	Citizens united should be overturned	5	Biden has been fairly consistent in his opposition to super PACs	https://www.huffpost.com/entry/joe-biden-rejects-help-from-new-super-pac_n_5cc47617e4b08e4e3482b2b1?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAALt0_opNFKXl-LzpILlIfFDNvFY-ggn85GHwu--hXfeLn3_g1H5n9OrPcKyqBfzgmF-ZtY7fk5QuMfpUNV9cqB9xOna7Iei4-yUpnbxoieFeBE9fsCNiyvgNbhNmqqLtlbU7RiYvkBgQzRiP3q3nHj4TjCuPtw8ujKOHomAKTGJ_ 
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	The campaign said that Biden believes war against Iran without specific congressional authorization “would be unconstitutional."	https://www.nbcnews.com/politics/2020-election/biden-once-warned-president-war-iran-without-congressional-approval-impeachable-n1019041
