ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	1	Belives tarrifs are taxes on americans and the wrong tool to use for addressing trade issues	https://www.washingtonexaminer.com/opinion/pete-buttigieg-is-right-tariffs-are-taxes-on-americans
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	5	Belives in wealth tax to the same levels that Warren proposed	https://www.washingtonexaminer.com/opinion/pete-buttigieg-is-right-tariffs-are-taxes-on-americans
Econ_3	Fiscal	We should reduce taxes on the middle class	3	No data	
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	5	He calls for investments in infrastructure and education to boost productivity. He adds that a lot of debt reduction “can happen on the revenue side where people are not paying their fair share.” He also mentions a financial transactions tax.	https://www.realclearpolitics.com/articles/2019/02/20/buttigieg_generational_pain_awaits_if_debt_is_ignored_139517.html
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Implement a Green New Deal with all available tools including a carbon tax-and-dividend for Americans, and major direct investment to build a 100% clean energy society	https://peteforamerica.com/issues/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	4	We’re going to need to empower the FTC to be able to intervene, including blocking or reversing mergers in cases where there’s anti-competitive behavior among tech companies even if it can’t directly be applied to pricing because you’re not seeing it in the form of changes to prices since the product’s free	https://www.theverge.com/2019/4/23/18512428/pete-buttigieg-facebook-google-amazon-apple-antitrust-ftc-break-up
Econ_7	Industry	I support a public single-payer healthcare system	4	Pete supports achieving Medicare for All through a pathway that helps improve people’s lives along the way while allowing the economy to adjust. He calls this “Medicare for All Who Want It.” This plan makes a Medicare-type public option available on the exchange and invites people to buy into it: if corporate insurers don’t lower costs to deliver something dramatically better than what is available today, competition will create the glide path toward Medicare for All.	https://peteforamerica.com/issues/
Econ_8	Industry	Private health insurance should be abolished in favor of a government-run plan	2	Pete can imagine an end-state where the private sector 'withers away' due to an inabilityt to compete with 'medicare for all that want it;' however, most likely, he sees the end state where Medicare is the 'center of gravity' and suplemental insurance is provided by the private sector	https://peteforamerica.com/issues/#Freedom
Econ_9	Labor	The government should introduce $15/hr federally mandate minimum wage	5	We need to raise the minimum wage to $15	https://twitter.com/petebuttigieg/status/1139968534233190402?lang=en
Econ_10	Labor	The government should require employers to pay men and women the same salary for the same job	4	The United States should pass a new law publicly reporting a simple annual statistic for every large company: for every dollar paid to men, how much less did women make? Companies that don’t hire, pay, and promote women fairly will have to explain themselves and change. It starts with transparency. And it is way past time to enact the Paycheck Fairness Act, which would make it more difficult for employers to hide unfair pay practices.	https://www.politico.com/2020-election/candidates-views-on-the-issues/military/defense-spending/
Econ_11	Labor	The government should institute policies that sreangthen and encourage labor unions	5	Pete believes that unions must have a powerful seat at the table — to stand up against unfair and abusive practices and to collaborate in improving work environments and productivity.	https://peteforamerica.com/issues/
Social_1	Education	Higher education should be tuition free (publically funded)	4	We will invest in college students’ futures by making public college tuition free for low-income students and ensuring the lowest-income students can cover living costs without taking on student debt through increased investments in the Pell Grant program	https://assets.documentcloud.org/documents/6188695/PFA-Douglass-Plan.pdf
Social_2	Education	The government should forgive outstanding student debt	4	We will cancel the debts of borrowers in low-quality, overwhelmingly for-profit programs beginning with those that failed federal “gainful employment” rules designed to ensure students receive an adequate return on their investments where the federal government should never have allowed students to enroll.	https://assets.documentcloud.org/documents/6188695/PFA-Douglass-Plan.pdf
Social_3	Gun Control	The government should ban all assault style weapons and high capacity magazines from public purchase	5	Pete believes to ban military-style assault weapons	https://peteforamerica.com/issues/
Social_4	Gun Control	The government should introduce a gun buy-back program	5	Supports a voluntary buyback program	https://www.politico.com/2020-election/candidates-views-on-the-issues/pete-buttigieg/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	5	Abolish the death penalty	https://peteforamerica.com/issues/
