ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	1	Yet again we are going to have a situation where American consumers are going to have to pay a price for this administration’s trade policy	https://www.mcclatchydc.com/news/policy/trade/article231269848.html
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	4	Harris proposes to reverse President Trump’s tax reform legislation, of which the top 1% receive an estimated 83% of its benefits	https://kamalaharris.org/issue/economic-justice/
Econ_3	Fiscal	We should reduce taxes on the middle class	5	Harris proposes a tax credit of up to $6,000 to working families each year; and also introduced legislation to create a new tax credit for renters who spend more than 30 percent of their income on rent, capped at the fair-market rent for the area and scaled to the renter’s income	https://kamalaharris.org/issue/economic-justice/
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	No data	
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Support developing new nuclear technologies as part of an effort to fight climate change	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	4	We need to seriously take a look at breaking up Facebook, "it is essentially a utility that has gone unregulated."	https://twitter.com/cnnsotu/status/1127568807600500737?lang=en
Econ_7	Industry	I support a public single-payer healthcare system	5	She believes we must guarantee Medicare-for-All	https://kamalaharris.org/issue/health-care/
Econ_8	Industry	Private health insurance should be abolished in favor of a government-run plan	2	I am supportive of a Medicare for All policy, and under a Medicare for All policy, private insurance would certainly exist for supplemental coverage	https://www.cnn.com/2019/06/28/politics/kamala-harris-democratic-debate-abolishing-private-insurance/index.html
Econ_9	Labor	The government should introduce $15/hr federally mandate minimum wage	5	Kamala will make a $15 minimum wage the national floor	https://kamalaharris.org/issue/economic-justice/
Econ_10	Labor	The government should require employers to pay men and women the same salary for the same job	5	As president, she’ll mandate equal pay for women	https://kamalaharris.org/issue/economic-justice/
Econ_11	Labor	The government should institute policies that sreangthen and encourage labor unions	5	To raise wages, Kamala will fight to empower unions	https://kamalaharris.org/issue/economic-justice/
Social_1	Education	Higher education should be tuition free (publically funded)	4	She’ll fight to make community college free, make four-year public college debt-free, and provide an income boost to nearly 1 in 7 Pell Grant recipients through her LIFT Act	https://kamalaharris.org/issue/debt-free-college-and-student-debt/
