ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	1	“We do need to get tough with China,” Biden said in a July speech, after blasting the president’s tariffs as causing severe pain and “pointless.”	https://www.washingtonpost.com/business/2019/08/07/democrats-struggle-present-united-front-trumps-trade-war/
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	3	Biden is proposing to raise the top individual income tax rate to 39.6 percent. He is proposing to increase taxes on wealthy people's capital gains. Biden's campaign also said that his capital gains reform will close the loopholes that allow the super wealthy to avoid taxes on capital gains altogether.	https://thehill.com/policy/finance/453110-biden-proposes-tax-increases-for-wealthy-as-part-of-health-care-plan
Econ_3	Fiscal	We should reduce taxes on the middle class	3	We should be raising the capital gains tax and cutting taxes for middle class people. Biden did express support for another policy change the White House is considering -- lowering payroll taxes, which he said worked during the Obama administration. However, he supports repealing entirety of the Tax cuts and Jobs act of 2017 which increase middle class tax brackets.	https://www.bloomberg.com/news/articles/2019-08-20/biden-dismisses-trump-s-idea-of-cutting-capital-gains-taxes
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	No info	
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Biden foresees $1.7 trillion in spending over the next 10 years, and $3.3 trillion in investments by the private sector and state and local governments. The proposal aims to achieve 100% clean energy and net-zero emission by 2050	https://joebiden.com/climate/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	3	"I don't think we spend nearly enough time focusing on antitrust measures," Biden told the AP. "And the truth of the matter is, I think it's something we should take a really hard look at."	https://www.newsweek.com/joe-biden-open-breaking-facebook-other-tech-giants-1424573
Econ_7	Industry	I support a public single-payer healthcare system	3	The Biden Plan will give you the choice to purchase a public health insurance option like Medicare	https://joebiden.com/healthcare/
Social_1	Education	Higher education should be tuition free (publically funded)	1	Joseph Biden, in his first campaign appearance in New Hampshire as a declared 2020 Democratic presidential candidate, says he would make two years of community college free to students.	https://www.educationnext.org/biden-backs-two-years-free-community-college/
Social_2	Education	The government should forgive outstanding student debt	1	Biden released a proposal to simplify and streamline the Public Service Loan Forgiveness program, with a focus on teachers	https://www.cnbc.com/2019/07/30/democratic-presidential-candidates-plans-for-addressing-student-debt.html
Social_4	Gun Control	The government should introduce a gun buy-back program	3	I would insititute a (voluntary) national buyback program	https://www.cnn.com/videos/politics/2019/08/06/biden-assault-weapons-national-buyback-program-sot-ac360-vpx.cnn/video/playlists/this-week-in-politics/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	5	Biden will work to pass legislation to eliminate the death penalty at the federal level, and incentivize states to follow the federal government’s example. These individuals should instead serve life sentences without probation or parole.	https://joebiden.com/justice/
