ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	1	Belives tarrifs are taxes on americans and the wrong tool to use for addressing trade issues	https://www.washingtonexaminer.com/opinion/pete-buttigieg-is-right-tariffs-are-taxes-on-americans
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	5	Belives in wealth tax at the same levels that Warren proposed	https://www.washingtonexaminer.com/opinion/pete-buttigieg-is-right-tariffs-are-taxes-on-americans
Econ_3	Fiscal	We should reduce taxes on the middle class	3	No data	
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	He calls for investments in infrastructure and education to boost productivity. He adds that a lot of debt reduction “can happen on the revenue side where people are not paying their fair share.” He also mentions a financial transactions tax.	https://www.realclearpolitics.com/articles/2019/02/20/buttigieg_generational_pain_awaits_if_debt_is_ignored_139517.html
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Implement a Green New Deal with all available tools including a carbon tax-and-dividend for Americans, and major direct investment to build a 100% clean energy society	https://peteforamerica.com/issues/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	3	We’re going to need to empower the FTC to be able to intervene, including blocking or reversing mergers in cases where there’s anti-competitive behavior among tech companies even if it can’t directly be applied to pricing because you’re not seeing it in the form of changes to prices since the product’s free	https://www.theverge.com/2019/4/23/18512428/pete-buttigieg-facebook-google-amazon-apple-antitrust-ftc-break-up
Econ_7	Industry	I support a public single-payer healthcare system	3	Pete can imagine an end-state where the private sector 'withers away' due to an inability to compete with 'medicare for all that want it;' however, most likely, he sees the end state where Medicare is the 'center of gravity' and suplemental insurance is provided by the private sector	https://peteforamerica.com/issues/#Freedom
Social_1	Education	Higher education should be tuition free (publically funded)	3	We will invest in college students’ futures by making public college tuition free for low-income students and ensuring the lowest-income students can cover living costs without taking on student debt through increased investments in the Pell Grant program	https://assets.documentcloud.org/documents/6188695/PFA-Douglass-Plan.pdf
Social_2	Education	The government should forgive outstanding student debt	2	We will cancel the debts of borrowers in low-quality, overwhelmingly for-profit programs beginning with those that failed federal “gainful employment” rules designed to ensure students receive an adequate return on their investments where the federal government should never have allowed students to enroll.	https://assets.documentcloud.org/documents/6188695/PFA-Douglass-Plan.pdf
Social_4	Gun Control	The government should introduce a gun buy-back program	3	Supports a voluntary buyback program	https://www.politico.com/2020-election/candidates-views-on-the-issues/pete-buttigieg/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	5	Abolish the death penalty	https://peteforamerica.com/issues/
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	5	We will commute the sentences of people who are incarcerated in the federal system beyond what justice warrants by establishing an independent clemency commission that sits outside the Department of Justice	https://assets.documentcloud.org/documents/6188695/PFA-Douglass-Plan.pdf
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	5	Legalize marijuana and address the harmful effects of its criminalization	https://peteforamerica.com/issues/
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	Repeal the Hyde Amendment so that those in need can access care equitably	https://peteforamerica.com/issues/
Social_11	Democracy	Citizens united should be overturned	5	Overturn Citizens United and Buckley v. Valeo, if necessary by constitutional amendment	https://peteforamerica.com/issues/
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	The time has come for Congress to repeal and replace that blank check on the use of force and ensure a robust debate on future operations	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_2	Unilateralism	Israel meets international standards of human rights	1	The suffering of the Palestinian people–especially the humanitarian disaster in Gaza–has many authors, from the extremism of Hamas and inefficacy of the Palestinian Authority to the indifference of the international community and, yes, the policies of the current Israeli government.	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	5	“The world needs an America free from entrapment in endless war and prepared to focus on future threats,” Buttigieg said. U.S. involvement in Afghanistan, for example, must come to an end, he said.	https://www.reuters.com/article/us-usa-election-buttigieg/buttigieg-urges-end-to-endless-u-s-war-return-to-iran-climate-deals-idUSKCN1TC20K
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	1	What we need is to manage immigration and our border humanely, securely, and effectively	https://peteforamerica.com/national-security-for-a-new-era/
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	5	Boost the defense budget, prioritizing artificial intelligence and machine learning	https://www.politico.com/2020-election/candidates-views-on-the-issues/military/defense-spending/
Foreign_6	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	The world needs America to lead on climate	https://peteforamerica.com/national-security-for-a-new-era/
