ID	Subcategory	Question	Answer 1	Answer 2	Answer 3	Answer 5
Econ_1	Trade	The government should increase tariffs on products imported into the country	No, Tarriffs are taxes on americans and pointless		Tarriffs may be a useful tool if its part of a broader strategy	Yes, tarriffs are always useful, they benefit Americans and hurt our adversaries
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	No, increasing taxes on the rich will hurt the economy		A moderate increase in taxes on the rich will benefit the economy	Yes, a steep increase in taxes on the rich will benefit the economy
Econ_3	Fiscal	We should reduce taxes on the middle class	No, an increase in taxes on the middle class may even be necessary to pay for social programs		Taxes on the middle-class should remain as-is, but spent more wisely	Yes, a slight decrease in taxes on the middle-class will help stiumlate the economy
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	No, the national debt is not a priority at the moment and its ok if it even increases	It depends on the circumstances in 2020	Yes, but only if it reduces it through higher taxes on the rich	Yes, the national debt is an important issues, and we need to tackle it through both taxes and spending
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	No, the market will provide the sufficient response		Yes, a mild stimulus from the government would be helpful	Yes, a significant stimulus from the government is necessary
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	No, these companies are not posing sufficient harm to consumers to warrant a breakup		We should kick off a thorough process to examine if that is necessary	Yes, this is a clear anti-trust issue and must be dealt with immediately
Econ_7	Industry	I support a public single-payer healthcare system	No, private market competition will provide better outcomes than government-run health insurance		Yes, but only if it competes aside private insurance (public option)	Yes, private insurance should be abolished in favor of a government-run single-payer plan
Social_1	Education	Higher education should be tuition free (publically funded)	2-years of community college should be completely free and support for 4-year college should be increased for low-income students		Make public 4-year colleges tuition free for low-income students	Make public 4-year colleges tuition free for all
Social_2	Education	The government should forgive outstanding student debt	Reduce debt-burden through income-driven and public-service driven loan reduction programs	Cancel the debts of borrowers in low-quality, overwhelmingly for-profit programs 	Cancel debt for more than 95% of people with student loan debt 	Cancel the entire $1.6 trillion in outstanding student debt for the 45 million borrowers
Social_4	Gun Control	The government should introduce a gun buy-back program	No, buy-back programs don't work		Yes, but only if it is a voluntary buyback program	Yes, we should institute a mandatory buy-back program for assault weapons
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	There may be some unique circumstances for which the dealth penalty is warrented			Yes, abolish the death penalty
Social_6	Criminal Justice	The President should drive clemency plans for non-violent drug offenders currently incarcerated	No, the clemancy process should be driven by the Department of Justice			Yes, use the president’s clemency power to secure the release of individuals facing unduly long sentences for certain non-violent and drug crimes
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	Federally, legalize medical marijuana & decriminalize recreational use; further legalization to be determined by states			Federally legalize all uses of marijuana
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	No, I support the Hyde Amendment, barring the use of federal funds to pay for abortion except to save the life of the woman, or in cases of incest or rape			Yes, abotion is healthcare and should be publically funded
Social_11	Democracy	Citizens united should be overturned	No, campaign spending is speach and should be protected			Yes, we need to limit the amount of money spent in politics
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	No, the 2001 Authorization for Use of Military Force Against Terrorists is sufficient for authorizing military force against adversaries such as Iran	There is no need to repeal the 2001 AUMF, however, the current authorization is limited to existing wars, and does not allow for new ones (e.g., war with Iran)		Yes, the time has come for Congress to repeal and replace the AUMF and ensure a robust debate on future operations
Foreign_2	Unilateralism	Israel meets international standards of human rights	No, Israel's record on human rights should be condemned		Israel’s occupation a “real” and “significant” problem, but would not go as far to say it is a “human rights crisis.”	Yes, Israel's occupation of Palestenian territories is legitimate and its behavior meets international standards of human rights
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	No, we need our troops to remain in Iraq, Afghanistan, and Syria to keep peace and security	Start the process of bringing the troops home, but do not offer a specific timeline	Bring the troops home over the first presidential term (over the next 4 years)	Yes, bring the troops home without delay
Foreign_4	Interventionism	Illegal border crossing should be decriminalized	No, illegal border crossing is a crime			Yes, make being in the United States without proper paperwork a civil offense, not a criminal offense
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	No, reduce defense budget in favor of domestic programs or diplomatic initiatives			Yes, increase defense budget to address emerging threats (cybersecurity, artificial intelligence)
Foreign_6	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	No, the United States should lead on climate			Yes, we should only cooperate with climate deals that ask the same from all countries
