ID	Subcategory	Question	Answer	Comment	Source
Econ_1	Trade	The government should increase tariffs on products imported into the country	1	Yet again we are going to have a situation where American consumers are going to have to pay a price for this administration’s trade policy	https://www.mcclatchydc.com/news/policy/trade/article231269848.html
Econ_2	Fiscal	Current taxes on the rich are too low and should be increased	3	Harris proposes to reverse President Trump’s tax reform legislation, of which the top 1% receive an estimated 83% of its benefits	https://kamalaharris.org/issue/economic-justice/
Econ_3	Fiscal	We should reduce taxes on the middle class	5	Harris proposes a tax credit of up to $6,000 to working families each year; and also introduced legislation to create a new tax credit for renters who spend more than 30 percent of their income on rent, capped at the fair-market rent for the area and scaled to the renter’s income	https://kamalaharris.org/issue/economic-justice/
Econ_4	Fiscal	The government should address reducing the national debt through higher taxes or reduced spending	3	No data	
Econ_5	Industry	The government should support (through grants, tax breaks, subsidies) the clean energy sector	5	Support developing new nuclear technologies as part of an effort to fight climate change	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Econ_6	Industry	The government should break up the mega-tech firms (Alphabet, Facebook, Amazon) into smaller competing firms	5	We need to seriously take a look at breaking up Facebook, "it is essentially a utility that has gone unregulated."	https://twitter.com/cnnsotu/status/1127568807600500737?lang=en
Econ_7	Industry	I support a public single-payer healthcare system	3	I am supportive of a Medicare for All policy, and under a Medicare for All policy, private insurance would certainly exist for supplemental coverage	https://www.cnn.com/2019/06/28/politics/kamala-harris-democratic-debate-abolishing-private-insurance/index.html
Social_1	Education	Higher education should be tuition free (publically funded)	3	She’ll fight to make community college free, make four-year public college debt-free, and provide an income boost to nearly 1 in 7 Pell Grant recipients through her LIFT Act	https://kamalaharris.org/issue/debt-free-college-and-student-debt/
Social_2	Education	The government should forgive outstanding student debt	1	She will allow current debt holders to refinance high-interest loans to lower rates, expanding Income Based Repayment (IBR) to ensure no student pays more than they can afford	https://kamalaharris.org/issue/debt-free-college-and-student-debt/
Social_4	Gun Control	The government should introduce a gun buy-back program	5	Harris: Swalwell’s Mandatory Gun Buyback a ‘Great Idea’	https://freebeacon.com/politics/harris-swalwells-gun-buyback-a-great-idea/
Social_5	Criminal Justice	Death penalty should be ended at state and federal levels	3	Kamala Harris Touts Her Opposition to the Death Penalty. Her Track Record’s More Complicated.	https://www.motherjones.com/politics/2019/01/kamala-harris-touts-her-opposition-to-the-death-penalty-her-track-records-more-complicated/
Social_6	Criminal Justice	Government should allow clemency plans for non-violent drug offenders currently incarcerated	1	She would go further than former President Barack Obama in using her powers to pardon non-violent drug offenders	https://www.cnn.com/2019/04/24/politics/kamala-harris-pardons/index.html
Social_8	Criminal Justice	Marijuana should be legalized at the state and federal levels	5	To help end the era of mass incarceration, Kamala will take action to legalize marijuana	https://kamalaharris.org/issue/criminal-justice-reform/
Social_10	Church-State	The government should provide all women free access to abortion facilities and cover costs of care	5	No woman's access to reproductive health care should be based on how much money she has. We must repeal the Hyde Amendment.	https://twitter.com/kamalaharris/status/1136320875102429184?lang=en
Social_11	Democracy	Citizens united should be overturned	5	The Supreme Court's 2010 Citizens United decision, which opened the door for unlimited spending in elections, should be overturned	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Foreign_1	Unilateralism	President should be required to come to Congress for an authorization of the use of military force (AUMF)	5	In May 2019, Harris voted for the repeal of the 2001 AUMF	https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=116&session=1&vote=00094
Foreign_2	Unilateralism	Israel meets international standards of human rights	5	In the Senate and on the campaign trail, Harris is opposing the boycott, divestment and sanctions movement targeting Israel, foreign aid cuts to the state, condemnatory votes on Israel at the United Nations and public criticism of its leadership	https://www.mcclatchydc.com/news/politics-government/white-house/article229180844.html
Foreign_3	Interventionism	We should bring U.S. troops home from America's post-9/11 wars without delay	5	Has called for bringing U.S. troops home from America's post-9/11 wars without delay	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Foreign_4	Interventionism	Illegal immigration is a major national security problem in the US	1	Kamala will focus our border enforcement resources on true public safety threats through investments in technology and ports of entry to address the flow of illegal drugs, illegal weapons and human trafficking.	https://kamalaharris.org/issue/immigration/
Foreign_5	Hegemony	Growing defense / pentagon spending should be a priority	1	Track records of advocating deep cuts in the Pentagon budget in order to pay for what they consider more important domestic programs or diplomatic initiatives	https://www.politico.com/2020-election/candidates-views-on-the-issues/kamala-harris/
Foreign_6	Hegemony	US and developing countries (China, India) should have same climate change standards despite the underlying different stages of development	1	Has supported the Green New Deal, which sets ambitious targets for the US in combating climate change, regardless of what other countries do	https://kamalaharris.org/issue/climate/
